city,latitude,longitude
Warsaw,52.22977,21.01178
Łódź,51.77058,19.47395
Kraków,50.06143,19.93658
Wrocław,51.1,17.03333
Poznań,52.40692,16.92993
Gdańsk,54.35227,18.64912
Szczecin,53.42894,14.55302
Bydgoszcz,53.1235,18.00762
Lublin,51.25,22.56667
Katowice,50.25841,19.02754
Białystok,53.13333,23.16433
Gdynia,54.51889,18.53188
Częstochowa,50.79646,19.12409
Sosnowiec,50.28682,19.10385
Radom,51.40253,21.14714
Mokotów,52.1934,21.03487
Kielce,50.87033,20.62752
Gliwice,50.29761,18.67658
Toruń,53.01375,18.59814
Zabrze,50.32492,18.78576
Bytom,50.34802,18.93282
Praga Południe,52.24424,21.08545
Bielsko-Biala,49.82245,19.04686
Olsztyn,53.77995,20.49416
Rzeszów,50.04132,21.99901
Ursynów,52.15051,21.05041
Ruda Śląska,50.2584,18.85632
Rybnik,50.09713,18.54179
Wola,52.23477,20.96004
Bielany,52.29242,20.93531
Tychy,50.13717,18.96641
Białołeka,52.32127,20.97204
Opole,50.67211,17.92533
Elbląg,54.1522,19.40884
Płock,52.54682,19.70638
Wałbrzych,50.77141,16.28432
Gorzów Wielkopolski,52.73679,15.22878
Targówek,52.29185,21.04845
Bemowo,52.2546,20.90844
Włocławek,52.64817,19.0678
Zielona Góra,51.93548,15.50643
Tarnów,50.01381,20.98698
Dąbrowa Górnicza,50.33394,19.20479
Chorzów,50.30582,18.9742
Kalisz,51.76109,18.09102
Koszalin,54.19438,16.17222
Legnica,51.21006,16.1619
Śródmieście,52.22904,21.01644
Słupsk,54.46405,17.02872
Jaworzno,50.20528,19.27498
