city,latitude,longitude,population
Warsaw,52.22977,21.01178,1702139
Łódź,51.77058,19.47395,768755
Kraków,50.06143,19.93658,755050
Wrocław,51.1,17.03333,634893
Poznań,52.40692,16.92993,570352
Gdańsk,54.35227,18.64912,461865
Szczecin,53.42894,14.55302,407811
Bydgoszcz,53.1235,18.00762,366452
Lublin,51.25,22.56667,360044
Katowice,50.25841,19.02754,317316
Białystok,53.13333,23.16433,291855
Gdynia,54.51889,18.53188,257000
Częstochowa,50.79646,19.12409,248125
Sosnowiec,50.28682,19.10385,227295
Radom,51.40253,21.14714,226794
Kielce,50.87033,20.62752,208598
Gliwice,50.29761,18.67658,198835
Toruń,53.01375,18.59814,196935
Zabrze,50.32492,18.78576,192177
Bytom,50.34802,18.93282,189186
Bielsko-Biala,49.82245,19.04686,176515
Olsztyn,53.77995,20.49416,171803
Rzeszów,50.04132,21.99901,158382
Ruda Śląska,50.2584,18.85632,146189
Rybnik,50.09713,18.54179,142510
Tychy,50.13717,18.96641,130000
Białołeka,52.32127,20.97204,129106
Opole,50.67211,17.92533,127676
Elbląg,54.1522,19.40884,127558
Płock,52.54682,19.70638,127474
Wałbrzych,50.77141,16.28432,127431
Gorzów Wielkopolski,52.73679,15.22878,124430
Włocławek,52.64817,19.0678,120339
Zielona Góra,51.93548,15.50643,118433
Tarnów,50.01381,20.98698,117799
Dąbrowa Górnicza,50.33394,19.20479,116971
Chorzów,50.30582,18.9742,113430
Kalisz,51.76109,18.09102,108759
Koszalin,54.19438,16.17222,107450
Legnica,51.21006,16.1619,106033
Słupsk,54.46405,17.02872,98608
Jaworzno,50.20528,19.27498,96541
Jastrzębie Zdrój,49.95542,18.57479,95813
Grudziądz,53.48411,18.75366,92552
Nowy Sącz,49.62177,20.69705,84376
Konin,52.22338,18.25121,81258
Piotrków Trybunalski,51.40547,19.70321,80128
Inowrocław,52.79886,18.26387,77597
Lubin,51.40089,16.20149,77532
Jelenia Góra,50.89973,15.72899,77366
Siedlce,52.16772,22.29006,77185
Piła,53.15145,16.73782,75532
Ostrowiec Świętokrzyski,50.92936,21.38525,73989
Siemianowice Śląskie,50.32738,19.02901,73121
Ostrów Wielkopolski,51.65501,17.80686,72898
Mysłowice,50.20745,19.16668,72124
Stargard,53.33672,15.0499,71224
Pabianice,51.66446,19.35473,70542
Gniezno,52.53481,17.58259,70269
Fordon,53.14821,18.17036,70000
Suwałki,54.11175,22.93087,69222
Tomaszów Mazowiecki,51.53131,20.00855,67197
Przemyśl,49.78498,22.76728,67013
Stalowa Wola,50.58286,22.05334,66495
Zamość,50.72314,23.25196,66034
Kędzierzyn-Koźle,50.34984,18.22606,65636
Głogów,51.66361,16.0845,65400
Wrzeszcz,54.37648,18.60753,65000
Leszno,51.84034,16.57494,63565
Żory,50.04523,18.70062,63174
Bełchatów,51.36883,19.35671,62896
Łomża,53.17806,22.05935,62019
Tarnowskie Góry,50.44548,18.86147,60938
Świdnica,50.84378,16.48859,60351
Chełm,51.14312,23.4716,60231
Tczew,54.09242,18.77787,60133
Piekary Śląskie,50.38017,18.92653,59757
